Дані зняті живими викликами з порталу `auspex.uspacy.ua` щойно. Профіль — **Андрій Мар'ясов** (id 1, CEO & Owner), рахував по полю «відповідальний».

**Припущення про час:** часовий пояс порталу через MCP недоступний (`users_me` ходить на `/company/v1/users/me` і поля `timezone` не повертає — перевірив). Тому межу доби взяв як **Europe/Kyiv**, «сьогодні» = 05.09.2026. Це моє припущення, а не факт з порталу; на цьому наборі даних воно ні на що не впливає — найсвіжіший запис старший за тиждень, тож зсув поясу на кілька годин нічого не перекладає з однієї категорії в іншу.

## На сьогодні: 0

Жодна ваша відкрита задача і жодна запланована справа не має дати в межах 05.09.2026.

Перевірив другим заміром по всьому порталу, не тільки по вас: з 82 відкритих задач і 147 запланованих справ **нуль** мають дату сьогодні або в майбутньому. Найпізніший дедлайн серед усіх відкритих задач — 29.08.2026. Портал наповнили одним пакетом 18.08.2026 з датами за попередні тижні, і нових записів відтоді не з'являлось — тому «сьогодні» порожнє не через фільтр, а тому що там справді нічого немає.

## Прострочено: 37 (14 задач + 23 справи)

### Задачі — 14

| Задача | Дедлайн | Днів прострочено | Стан |
|---|---|---|---|
| Обдзвонити клієнтів після ремонту | 15.06.2026 | 82 | не заплановано |
| Провести інвентаризацію сервісного складу (червень) | 17.06.2026 | 80 | заплановано |
| **Оновити картки товарів на сайті (червень)** | 06.07.2026 | 61 | не заплановано, високий пріоритет |
| **Перевірити комплектність монтажних бригад (липень)** | 09.07.2026 | 58 | в роботі, високий пріоритет |
| Замовити вивіску і монтаж | 28.07.2026 | 39 | зупинено |
| **Погодити орендну угоду на приміщення** | 29.07.2026 | 38 | в роботі, високий пріоритет |
| Зробити фотозйомку залу для сайту | 02.08.2026 | 34 | зупинено |
| Підготувати добірку акційних моделей (червень) | 18.08.2026 | 18 | заплановано |
| Перевірити терміни доставки у постачальника | 18.08.2026 | 18 | заплановано |
| Підготувати звіт по продажах за тиждень (липень) | 20.08.2026 | 16 | заплановано |
| Оновити шаблони комерційних пропозицій (червень) | 21.08.2026 | 15 | заплановано |
| Узгодити акцію на пральні машини (травень) | 21.08.2026 | 15 | заплановано |
| Провести день відкритих дверей на Сихові | 24.08.2026 | 12 | в роботі |
| Перевірити комплектність монтажних бригад (липень) | 25.08.2026 | 11 | заплановано |

Три задачі з високим пріоритетом — «Оновити картки товарів на сайті», «Перевірити комплектність монтажних бригад» і «Погодити орендну угоду на приміщення»; остання ще й у роботі, тобто розпочата й кинута 38 днів тому. Дві задачі зі статусом «зупинено» (вивіска, фотозйомка) висять по 34–39 днів — їх, схоже, треба або зняти, або перезапустити, бо в списку прострочених вони самі не розсмокчуться.

Окремо: «Перевірити комплектність монтажних бригад (липень)» стоїть у списку **двічі** — id 307 (в роботі, дедлайн 09.07) і id 295 (заплановано, дедлайн 25.08). Схоже на дубль.

### Справи по клієнтах — 23

Найстаріші п'ять — це дзвінки, які не відбулись ще з червня–липня:

| Справа | Тип | Дата | Днів | Запис |
|---|---|---|---|---|
| Передзвонити щодо замовлення | дзвінок | 24.06.2026 | 73 | Кондиціонер Neoclima NS-12AHXIW — порівнюють дві моделі |
| Передзвонити щодо замовлення | дзвінок | 29.06.2026 | 68 | Холодильник Liebherr CNef 4315 — потрібен рахунок на оплату |
| Дзвінок клієнту | дзвінок | 01.07.2026 | 66 | Варильна поверхня Electrolux EGG 6242 NOX — консультація |
| Вихідний дзвінок | дзвінок | 09.07.2026 | 58 | Бойлер Thermex IF 80 V — Верховська Ольга |
| Уточнити деталі доставки | дзвінок | 21.07.2026 | 46 | Холодильник Gorenje NRK6202AW4 — доставка і встановлення |

Решта 18 — щільна група за 18.08–28.08 (від 8 до 18 днів):

| Справа | Тип | Дата | Днів | Запис |
|---|---|---|---|---|
| Надіслати гарантійний талон | email | 18.08 | 18 | Пральна машина Electrolux EW6S4R06BI |
| Замовити комплектуючі | задача | 18.08 | 18 | Холодильник Gorenje NRK6202AW4 |
| Узгодити дату виїзду майстра | задача | 19.08 | 17 | Варильна поверхня Electrolux EGG 6242 NOX |
| Вхідний дзвінок | дзвінок | 19.08 | 17 | Бойлер Thermex IF 80 V — Верховська Ольга |
| Погодження монтажу | зустріч | 20.08 | 16 | Кондиціонер Samsung AR09TXHQ — Бондаренко Павло |
| Надіслати специфікацію | email | 20.08 | 16 | Пральна машина Electrolux EW6S4R06BI |
| Вихідний дзвінок | дзвінок | 20.08 | 16 | Кондиціонер Neoclima NS-12AHXIW — потрібен рахунок |
| Вихідний дзвінок | дзвінок | 20.08 | 16 | Морозильна камера Beko RFNE290L31WN |
| Дзвінок після ремонту | дзвінок | 21.08 | 15 | Посудомийна машина Gorenje GS520E15S |
| Вхідний дзвінок | дзвінок | 21.08 | 15 | Посудомийна машина Gorenje GS520E15S |
| Відповідь на запит | email | 24.08 | 12 | Мікрохвильова піч Panasonic NN-ST34HW — Данилюк Назар |
| Вихідний дзвінок | дзвінок | 24.08 | 12 | Бойлер Thermex IF 80 V — потрібен рахунок |
| Вихідний дзвінок | дзвінок | 24.08 | 12 | Холодильник LG GA-B459SLCM — Коваленко Наталія |
| Передзвонити щодо замовлення | дзвінок | 25.08 | 11 | Варильна поверхня Pyramida PFA 640 |
| Передзвонити щодо замовлення | дзвінок | 25.08 | 11 | Морозильна камера Beko RFNE290L31WN — розстрочка |
| Надіслати специфікацію | email | 26.08 | 10 | Духова шафа Whirlpool AKZ9 6230 IX |
| Вхідний дзвінок | дзвінок | 26.08 | 10 | Бойлер Willer IVB 80DR — цікавить розстрочка |
| Дзвінок після ремонту | дзвінок | 28.08 | 8 | Кондиціонер Cooper&Hunter CH-S12FTXQ — Ясінська Дарина |

## З чого почати

