Станом на **10 вересня 2026 року**:

- **На сьогодні:** нічого не заплановано.
- **Прострочено:** **37 пунктів** — 14 задач і 23 CRM-справи.

Найважливіші прострочені:

| Дедлайн | Задача | Стан |
|---|---|---|
| 29.07 | Погодити орендну угоду на приміщення | В роботі, високий пріоритет |
| 09.07 | Перевірити комплектність монтажних бригад | В роботі, високий пріоритет |
| 06.07 | Оновити картки товарів на сайті | Не заплановано, високий пріоритет |
| 28.08 | Дзвінок після ремонту — кондиціонер Cooper&Hunter | Заплановано |
| 26.08 | Вхідний дзвінок — розстрочка на бойлер Willer | Заплановано |
| 26.08 | Надіслати специфікацію — духова шафа Whirlpool | Заплановано |
| 25.08 | Перевірити комплектність монтажних бригад | Заплановано |
| 24.08 | Провести день відкритих дверей на Сихові | В роботі |

Рахував лише ваші незавершені записи як відповідального; завершені не включав. Межу доби взято за **Europe/Kyiv** — часовий пояс профілю Uspacy недоступний через підключення. Дані перевірено окремо у задачах і CRM-справах.
